Username,Comment
@slawomirRobert,"POLSKA=""WYBORY PREZYDENCKIE 2025"".
18 MAJA=""DOWODY W DŁOŃ""=""DŁUGOPISY-SWOJE=W DŁOŃ""=""TELEFONY W DŁOŃ""=by mieć dowód, na kogo oddało się GŁOS.
""Całymi rodzinami=WSIAMI,MIASTECZKAMI,MIASTAMI"" =idziemy głosować na kandydata-kandydatów prawicowych, by ŻADEN, kandydat LEWICOWY, nie wcisnął ""CHOĆBY STOPY"" by walczyć w 2 turze."
@CelestinSamy-d2b,SAK TA DI SA!!! VINGT ET UN HANDICAPÉS CONTRE VINGT ET UN TECHNICIENS !!! RÉSULTATS LES HANDICAPÉS REMPORTENT LA VICTOIRE C'EST LE RÉSULTATS.😂😂😂😂😂😂🎉.
@franciscorodriguez8236,Jajajjaj que paso barcelona hoy no jugo su mejor hombre oque!!!! Osea El Arbitro
@ManitaLimbuDhankuta,No 😞😞😞😞😞😞😞😞
@Story_coster,Inter Milan getting revenge for real madrid damn ❤
@STEAMAIR1,That wasn't just a game that was epic ..should be written in history books as one of the greatetes .. congrats to both teams for giving us such wild emotions...
@JuanCaal-f1t,Cuando. Van aver al real madrid dar un espectáculo asi..
@ElvinValle-gl6qf,Asi se juega en la calle amontonado asi juega el inter futbol de calle aprendan a la liga inglesa a la liga española
@auntienoob,Barca 😂😂 no remontada
@DristiAkter,Barchalona fans are stop
@ElvinValle-gl6qf,Ese futbol del inter se mira como futbol de barrio futbol callejero nombre salgan de alli inter
@sabbir137,barcelona be like : ucl win is my dream 😂
@_.R.F.X.L._,Barcelona junky team 🎉🎉🎉🎉🎉
@Moaw1,I KNEW THEY WERE GONNA WIN
@aloisiofranca9719,Este narrador claramente torce contra o Inter!!!
@lorddarkrai5753,"If it happens to be Inter vs Arsenal , it'll be the first time in years i'll be saying ""May the best win , seriously i don't know who to pick"""
@_.R.F.X.L._,Barcelona is junk
@ElvinValle-gl6qf,Yo no se como le metio goles el barsa con esa tumberia de defensas del inter
@salimnazir6000,congrats thx inter u have shut big mouths
@ukbhai_gameingff6870,Barcelona 😂😂😂😂😂 cant win after 10 years also says madrid is finished 😂😂😂😂😂😂😂😂😂😂😂😂😂
@joboycrazy5164,I never imagined losing after Rapheenia's banger
@JulixYung-kw2tr,Araujo concentrarse en pelota no albitro mismo errores
@ElvinValle-gl6qf,Solo azuliaba alli en el marco todo el inter bajo el marco es una verguenza ver un equipo jugando de esa forma
@Iamyourvoice-KK,I am Real fan. I have paid 100.000$ for Inter yesterday....now 
@Serguei-z3s,"Maldini cantaba los goles cómo si se acabara el mundo para el Barça.. 
💩💩💩💩💩💩💩
Al Carreeeeeeeer!!🎉🎉🎉"
@christlalngaihawma4718,Inter cooked also the comentator
@JohnyMylliem-nz9dm,Now barca fan will say its because they didn't wear that red/blue colour jersey 😂😂
@ElvinValle-gl6qf,El inter debe de aprender a jugar mejor yo no se como el barsa le metio 6 goles a 11 defensas en un marco tan pequeño
@Tkhouse-n9k,My favorite match❤❤❤❤🎉🎉
@kulan0070,"Браво Интер , с уважением из России 🎉🎉🎉"
@JulixYung-kw2tr,Mmmm y albitraje tuvo parte en alguno momento o barca como Ferran nadie le dijo tenia que estar vivo?
@CanabMaxamuud-x2y3i,OMG ❤❤😅😅😅
@SaidulislamTanver,Barca is Suitable for la Liga... Thats it.UCL not for them🤧
@fubuki_waifu_6545,This is called real football where even 1 minutes matter you don't what can be happen
@Shohruxbek-h8o,Barsachilar kuyib õlsin vuuuv😂🎉
@AlendraReang-j7z,❤martinez
@fubuki_waifu_6545,They cooked barcelona
@HIMALIRAYI,this commentator is barca  barking one!😅😅😅😅
@unstoppable123manipur,Barca fans😂😂🤡🤡👈👈
@mayukhchakraborty3799,The comeback didn't stay long😂
@popynaskar2712,This year UCL is different
@alenghungyootsutsuki3310,Thank You Inter...
@shaikarif7845,Now Kounde will realize why messi is 🐐...
@DavidMorales-rf3xz,Madrid fan here but holy fuckk!! What a Game i just witnessed! 😮
@technoking2202,Inter Milan hit the mute button on Barcelona😂
@Akaza548,Now I can sleep in peace
@ayyappannn,Where are barca toxic fans? I can't see them here I respect barca but their fans are dumb i would say real madrid have 15 UCL 😂 Hala madrid 🥇🏆🤍💙
@ElvinValle-gl6qf,Por los 11 de defensa que pone el inter hasta bus mete el inter
@Arxedit7,Hala madrid
@yahyobekabdusalimov3585,Commentator is fan of Barcelona
